time,货运周转量,货运量,工业增加值
2013/08/01,2457.491655,3.365,10.323
2013/09/01,2482.921121,3.442,10.316
2013/10/01,2490.271926,3.47,10.055
2013/11/01,2470.108144,3.435,9.607
2013/12/01,2423.14773,3.345,9.1
2014/01/01,2360.507228,3.23,8.711
2014/02/01,2299.033513,3.13,8.6
2014/03/01,2255.539973,3.071,8.72
2014/04/01,2240.079599,3.062,8.924
2014/05/01,2251.489576,3.103,9.07
2014/06/01,2281.086753,3.175,9.02
2014/07/01,2313.918373,3.245,8.735
2014/08/01,2335.62773,3.292,8.316
2014/09/01,2341.481686,3.295,7.907
2014/10/01,2337.066843,3.263,7.569
2014/11/01,2327.682585,3.216,7.304
2014/12/01,2313.895166,3.157768531,7.115485088
