time,成品钢材产量,原煤产量,原油加工量产量,火力发电产量
2004-6-1,2382.474,13043.06043,2273.468047,1452.266187
2004-7-1,2451.801,13208.39203,2288.610685,1464.617251
2004-8-1,2533.65,13358.14097,2303.467242,1483.258642
2004-9-1,2616.116,13474.06777,2316.912422,1505.669025
2004-10-1,2690.841,13544.21149,2332.301576,1529.990866
2004-11-1,2752.378,13567.667,2350.969444,1552.750814
2004-12-1,2800.243,13577.00848,2371.180334,1571.136524
2005-1-1,2838.303,13628.88426,2388.088578,1584.873667
2005-2-1,2870.143,13759.63072,2399.221926,1594.541335
2005-3-1,2900.311,13981.45316,2403.671825,1600.318419
2005-4-1,2936.1,14278.06613,2405.116184,1606.264649
2005-5-1,2979.46,14611.18275,2409.672811,1614.306114
2005-6-1,3030.08,14936.87153,2418.37177,1624.572027
2005-7-1,3087.194,15230.05385,2427.107408,1638.620932
2005-8-1,3149.908,15473.90342,2432.416388,1653.155231
2005-9-1,3216.801,15679.12804,2434.766334,1667.740023
2005-10-1,3282.401,15864.24764,2436.492945,1682.719744
2005-11-1,3346.88,16054.3893,2440.316089,1698.115904
2005-12-1,3416.426,16266.3661,2449.116954,1715.372805
2006-1-1,3497.834,16487.60873,2462.773072,1735.361574
2006-2-1,3588.37,16682.59884,2478.152111,1757.741987
2006-3-1,3675.375,16822.6729,2489.969979,1783.038394
2006-4-1,3744.547,16903.43168,2495.440521,1810.546539
2006-5-1,3793.947,16963.54639,2493.799969,1839.802532
2006-6-1,3831.88,17033.19056,2491.848413,1872.453018
2006-7-1,3868.875,17161.96756,2496.856185,1909.570986
2006-8-1,3917.348,17374.0377,2513.437198,1952.236745
2006-9-1,3983.47,17661.17024,2539.249148,2001.099868
2006-10-1,4068.413,17949.74431,2569.671667,2050.379188
2006-11-1,4167.66,18180.4291,2599.327655,2093.506001
2006-12-1,4261.581,18315.53795,2624.008531,2125.08835
2007-1-1,4339.287,18369.62041,2644.663359,2147.721954
2007-2-1,4404.795,18402.44289,2662.680131,2166.376033
2007-3-1,4463.988,18459.49514,2681.37121,2186.968161
2007-4-1,4526.6,18575.8415,2700.325444,2211.44193
2007-5-1,4598.518,18750.62081,2717.169481,2238.866633
2007-6-1,4676.709,18956.17411,2728.824522,2267.213575
2007-7-1,4758.983,19161.84047,2735.297031,2291.949962
2007-8-1,4839.61,19342.59742,2739.928627,2312.532876
2007-9-1,4906.275,19528.53365,2749.767609,2328.275464
2007-10-1,4948.51,19754.58886,2768.997079,2340.16981
2007-11-1,4964.245,20035.79589,2796.717414,2352.165671
2007-12-1,4968.534,20355.2011,2826.539104,2368.747616
2008-1-1,4974.893,20717.4765,2851.463068,2385.071014
2008-2-1,4988.492,21089.47414,2867.101364,2401.631208
2008-3-1,5010.138,21409.95967,2875.279205,2416.375714
2008-4-1,5023.148,21671.04088,2880.110485,2424.773473
2008-5-1,5004.497,21861.53072,2885.460224,2424.830859
2008-6-1,4945.275,21990.74308,2889.145525,2410.223775
2008-7-1,4851.144,22014.20833,2886.235387,2375.672207
2008-8-1,4738.081,21907.82234,2872.620832,2322.874801
2008-9-1,4643.456,21693.69819,2845.55283,2258.635284
2008-10-1,4604.969,21486.62385,2809.61349,2200.97368
2008-11-1,4634.032,21398.53653,2778.050404,2161.831076
2008-12-1,4717.024,21486.18012,2763.665756,2144.584836
2009-1-1,4833.334,21784.91728,2774.890582,2152.265944
2009-2-1,4969.887,22299.89381,2815.008776,2183.588488
2009-3-1,5120.937,22972.57061,2880.720839,2227.861613
2009-4-1,5288.013,23674.92364,2963.382318,2281.67648
2009-5-1,5474.429,24301.98158,3053.005809,2338.608173
2009-6-1,5677.284,24846.07684,3139.52762,2402.291054
2009-7-1,5889.103,25283.23307,3213.87175,2480.783307
2009-8-1,6097.374,25692.48954,3270.236689,2573.12297
2009-9-1,6280.915,26079.37473,3308.622483,2671.105829
2009-10-1,6410.085,26469.09427,3332.28209,2756.99166
2009-11-1,6484.296,26846.5628,3346.055254,2818.750213
2009-12-1,6523.562,27186.32017,3359.110518,2856.244406
2010-1-1,6550.127,27410.32475,3377.450245,2869.110202
2010-2-1,6572.471,27484.64818,3402.397347,2854.140854
2010-3-1,6602.808,27528.33671,3429.904541,2822.85583
2010-4-1,6640.683,27611.4453,3454.043308,2788.837578
2010-5-1,6666.931,27729.63014,3473.748809,2759.795249
2010-6-1,6669.065,27913.29759,3492.282028,2742.124958
2010-7-1,6645.756,28226.15833,3514.335687,2733.641173
2010-8-1,6615.79,28656.04288,3544.3612,2736.30239
2010-9-1,6611.067,29132.12811,3583.197066,2752.989148
2010-10-1,6663.717,29620.92317,3626.209459,2783.903511
2010-11-1,6768.758,30053.65417,3666.432963,2825.948548
2010-12-1,6900.332,30432.23263,3698.478874,2874.098559
2011-1-1,7031.735,30752.90074,3720.655211,2932.703996
2011-2-1,7143.247,31031.38984,3735.105014,3002.742947
2011-3-1,7225.237,31291.09605,3745.562289,3077.364199
2011-4-1,7285,31553.1141,3753.885464,3147.572125
