tm,coor,delay,adv
2002,100,100,100
2003,100.1107616,100.6259807,100.4041619
2004,100.4390105,100.6269616,100.4731094
2005,100.0329356,100.4044951,100.2177621
2006,99.41664846,100.0016004,100.4386008
2007,100.1436959,100.6419807,100.169244
2008,100.4266192,99.98283372,97.95262456
2009,99.76888467,100.3194412,99.81703935
2010,101.1462277,100.5217691,99.90992156
2011,100.5255847,100.0719564,99.79449041
2012,97.64965315,105.0405461,96.32319701
2013,99.70559034,102.7135141,97.30554553
