tm,gyjx,dzdq,nfcp,ysyc,wjyp,ldld,jzx,jsks,kuangjian,gangcai,shiyou,mei
2010/12/1,41.6135,7.6557,24.9883,167.3015,52.8321,403,714.5586,2993.0422,808.909,1823.3369,1102.7682,13550.6561
2011/1/1,36.0538,9.2798,25.2106,160.5116,48.6571,188,638.4502,3455.7326,811.9668,1923.5069,1087.6262,14750.3659
2011/2/1,29.8426,6.5911,15.3074,110.1795,45.8678,99,525.9789,3360.3744,713.2831,1886.2302,1020.6054,13284.5055
2011/3/1,40.1167,13.7113,32.4714,152.3026,53.7475,165,803.3789,3365.5445,1188.7737,1969.6889,1094.8577,14353.2294
2011/4/1,36.7893,12.006,26.2253,134.2891,51.4644,244,780.7503,3373.0531,1252.359,1864.7344,1040.9678,13394.8929
2011/5/1,32.445,11.4357,25.28,139.2949,51.3142,311,806.5079,3366.8085,1354.9769,1960.165,1062.4898,14591.3595
2011/6/1,30.9861,9.8981,18.3647,144.4673,44.97,288,795.0021,3227.6663,1304.6996,1911.3597,1022.1827,14207.3174
2011/7/1,29.6774,8.2313,16.1905,158.2145,47.7921,2321,815.9253,3212.8797,1263.5728,1949.0017,1037.5249,14537.8218
2011/8/1,28.8904,9.6157,11.7498,164.5792,45.6641,513,821.4758,3239.4048,1128.7212,1969.4415,1039.1888,14525.2849
2011/9/1,32.5587,9.5279,16.413,142.8736,46.9476,2338,789.1662,3298.8845,948.7183,1878.0084,993.2285,14153.4309
2011/10/1,34.5239,8.0757,25.2788,150.3725,45.7733,6019,812.6982,3288.3816,912.1324,1874.1701,1022.0487,14810.0839
2011/11/1,36.0838,8.0786,27.1384,148.0517,46.5752,4055,799.3955,2972.659,791.6421,1729.0026,1038.6481,14623.0763
2011/12/1,36.1476,10.6528,26.2972,182.7353,46.655,2806,795.799,2986.2612,769.5067,1863.2544,1105.1283,14894.3678
2012/1/1,25.0868,5.0822,18.5297,139.4831,43.1284,3220,578.711,3400.896,603.3522,1876.9994,1107.3952,15507.6974
2012/2/1,33.7148,8.459,23.2107,154.5309,41.0316,368,671.3005,3038.9363,683.7045,1781.7544,1014.3883,13918.9801
2012/3/1,38.7697,10.4733,25.7689,165.8354,45.1603,755,841.0606,3358.7437,1036.7443,1862.3905,1071.5193,15069.61
2012/4/1,31.6687,9.4279,21.1155,152.0114,49.2631,169,814.7752,3421.589,1165.982,1831.4862,1012.8401,14294.8838
2012/5/1,30.8059,9.2109,17.811,165.4304,47.5355,363,844.4769,3425.3921,1365.0572,1896.2186,997.6343,15104.1654
2012/6/1,28.6239,8.586,15.3349,158.9546,42.3887,2980,748.5242,3210.3103,1415.7227,1808.6064,987.2166,13431.0769
2012/7/1,28.9099,8.0751,13.6407,159.6584,40.3965,444,759.4486,3285.546,1018.8964,1821.7809,1088.7735,12733.4807
2012/8/1,30.5757,9.167,15.2728,168.4654,40.0888,114,779.3145,3239.9354,1057.2901,1769.3466,1069.0697,12716.9826
2012/9/1,34.0384,8.4657,20.5063,163.1245,42.083,1154,753.5489,3307.1783,976.5145,1740.3867,1049.3533,12988.6618
2012/10/1,28.8901,8.6072,29.8722,134.9916,44.0507,178,759.7961,3636.9407,993.6396,1808.8088,1119.5906,13791.8182
2012/11/1,36.4728,8.6434,26.4259,136.3499,42.9111,115,761.8328,3481.2888,786.0214,1825.2709,1064.6547,14184.6173
2012/12/1,40.2717,9.8244,28.788,170.4619,44.4006,107,752.2921,3305.0072,656.1565,1909.1309,1069.9814,14773.318
2013/1/1,35.4347,9.2734,29.7081,186.9206,42.6981,1,679.9557,3424.5628,666.9943,1943.3667,1089.3594,15092.9691
2013/2/1,24.4735,3.18,14.5948,110.7108,32.4065,1,518.154,3550.4515,516.5258,1877.4963,1037.7806,13575.2745
