oil
1626.62
1575.81
1811.54
1865.12
1902.76
1832.85
1660.34
1690.96
1779.3
1850.83
1876.2
1671.07
1716.83
1611.97
1778.64
1898.6
1932.7
1794.87
1716.19
1772.98
1899.21
1959.92
1899.3
1983.25
1930.93
1844.85
1966.35
1981.26
1832.44
1881.43
2030.12
2082.39
2119.18
2175.39
2100.04
2232.28
2252.48
2202.86
2230.5
2206.98
2309.34
2250.53
2291.8
2348.27
2251.22
2316.95
2354.27
2447.29
2425.62
2227.57
2468.16
2393.54
2455.5
2380.31
2462.44
2422.6
2461.8
2425.43
2421.21
2468.17
2482.47
2365.93
2519.78
2502.16
2521.45
2521.76
2500.35
2513.77
2505.09
2564.64
2609.97
2695.18
2644.35
2494
2711
2665.9
2796
2796.5
2751.4
2751.1
2694.9
2761.5
2767.2
2905.7
2844.16
2737
2889.1
2737.9
2778
2961.19
3030.58
2919.1
2825.1
2978.92
2726.69
2716.79
2576.9
2579.8
2937.44
2942.7
3118.8
3191.7
3311.3
3255.75
3282.6
3328.58
3336.3
3459.82
3370.4
3191.1
3455.7
3440.62
3579.34
3534.67
3528.03
3472.88
3491.05
3703.81
3665.52
3872.31
3718.72
3521.39
3766.33
3719.2
3847.03
3555.58
3748.71
3678.53
3609.5
3710.6
3786.77
3923.42
3967.6
3686.3
3836.84
3695.43
3833.13
3598.25
3760
3774.15
3876.07
3991.49
4161.22
4312.13
4289.1
3776.1
4082.51
3831.87
3906.16
3959.77
4029.61
3973.88
3864.56
4107.56
4017.34
4201.62
3860.94 
4017.17 
4191.72 
3957.79 
4033.49 
4183.20 
4108.08 
4139.06 
4202.00 
4351.42 
4224.61 
4458.00 
