tm,coor,delay,adv
2002,,0,89.436
2003,31.6,24.331,100
2004,100,13.528,100
2005,100,44.485,89.436
2006,100,6.626,89.436
2007,100,45.427,73.466
2008,29.7,0,26.534
2009,0,75.669,80.49
2010,100,100,56.608
2011,61.3,52.053,46.044
2012,0,62.141,0
2013,0,30.242,0
