tm,coor,delay,adv
2002,81.278,1.796,89.436
2003,100,33.577,100
2004,100,37.715,100
2005,81.278,67.701,89.436
2006,81.278,17.239,89.436
2007,81.278,59.135,73.466
2008,100,35.92,26.534
2009,18.722,57.339,80.49
2010,18.722,53.201,56.608
2011,0,36.863,46.044
2012,0,36.863,0
2013,0,0,0
