"","tm","DIx","DIt"
"1",20010201,0.749674684515165,0.267846632087827
"2",20010301,0.749674684515165,0.267846632087827
"3",20010401,0.535442500013978,0.267846632087827
"4",20010501,0.321210315512791,0
"5",20010601,0.213513709064272,0
"6",20010701,0,0
"7",20010801,0.250325315484835,0.267846632087827
"8",20010901,0.250325315484835,0.267846632087827
"9",20011001,0.678789684487209,0.501824233820987
"10",20011101,0.678789684487209,0.498175766179013
"11",20011201,0.678789684487209,0.498175766179013
"12",20020101,0.892303393551481,0.498175766179013
"13",20020201,1,0.498175766179013
"14",20020301,0.749674684515165,0.498175766179013
"15",20020401,0.749674684515165,0.498175766179013
"16",20020501,0.749674684515165,0.498175766179013
"17",20020601,0.321210315512791,0.498175766179013
"18",20020701,0.213513709064272,0.498175766179013
"19",20020801,0.463839024549107,0.76602239826684
"20",20020901,0.571535630997626,0.76602239826684
"21",20021001,0.571535630997626,0.498175766179013
"22",20021101,0.571535630997626,0.615164567045593
"23",20021201,1,0.615164567045593
"24",20030101,0.892303393551481,0.732153367912173
"25",20030201,0.892303393551481,0.367900917777074
"26",20030301,0.892303393551481,0.501824233820987
"27",20030401,0.892303393551481,1
"28",20030501,1,1
"29",20030601,1,1
"30",20030701,0.749674684515165,0.732153367912173
"31",20030801,0.749674684515165,0.498175766179013
"32",20030901,1,0.498175766179013
"33",20031001,0.893243145467864,0.498175766179013
"34",20031101,1,1
"35",20031201,1,1
"36",20040101,1,1
"37",20040201,0.571535630997626,0.732153367912173
"38",20040301,0.571535630997626,0.23397760173316
"39",20040401,0.358021921933354,0.23397760173316
"40",20040501,0.786486290935728,0.501824233820987
"41",20040601,0.786486290935728,0.501824233820987
"42",20040701,1,0.501824233820987
"43",20040801,1,0.501824233820987
"44",20040901,0.749674684515165,0.501824233820987
"45",20041001,0.749674684515165,0.501824233820987
"46",20041101,0.749674684515165,0.501824233820987
"47",20041201,0.749674684515165,0.501824233820987
"48",20050101,0.749674684515165,0.501824233820987
"49",20050201,0.250325315484835,1
"50",20050301,0.250325315484835,1
"51",20050401,0.250325315484835,1
"52",20050501,0.678789684487209,0.732153367912173
"53",20050601,0.678789684487209,0.498175766179013
"54",20050701,0.892303393551481,0.498175766179013
"55",20050801,0.892303393551481,1
"56",20050901,0.892303393551481,1
"57",20051001,0.892303393551481,1
"58",20051101,0.892303393551481,1
"59",20051201,0.892303393551481,0.732153367912173
"60",20060101,0.892303393551481,0.732153367912173
"61",20060201,1,0.732153367912173
"62",20060301,0.641978078066646,0.267846632087827
"63",20060401,0.641978078066646,0.267846632087827
"64",20060501,0.641978078066646,0.267846632087827
"65",20060601,0.213513709064272,0.23397760173316
"66",20060701,0.213513709064272,0.501824233820987
"67",20060801,0.571535630997626,0.501824233820987
"68",20060901,1,0.501824233820987
"69",20061001,1,0.501824233820987
"70",20061101,1,0.501824233820987
"71",20061201,0.749674684515165,0.23397760173316
"72",20070101,0.749674684515165,0.498175766179013
"73",20070201,0.749674684515165,0.498175766179013
"74",20070301,0.749674684515165,0.498175766179013
"75",20070401,0.749674684515165,0.76602239826684
"76",20070501,1,0.76602239826684
"77",20070601,0.892303393551481,0.76602239826684
"78",20070701,0.892303393551481,0.498175766179013
"79",20070801,0.892303393551481,0.732153367912173
"80",20070901,0.678789684487209,0.732153367912173
"81",20071001,0.358021921933354,0.23397760173316
"82",20071101,0.358021921933354,0.501824233820987
"83",20071201,0.358021921933354,0.501824233820987
"84",20080101,0.358021921933354,0.501824233820987
"85",20080201,0.250325315484835,0.23397760173316
"86",20080301,0.250325315484835,0.23397760173316
"87",20080401,0.250325315484835,0.23397760173316
"88",20080501,0,0.23397760173316
"89",20080601,0,0
"90",20080701,0,0
"91",20080801,0,0
"92",20080901,0,0
"93",20081001,0,0
"94",20081101,0,0
"95",20081201,0.428464369002374,0
"96",20090101,0.678789684487209,0
"97",20090201,1,0
"98",20090301,1,1
"99",20090401,1,1
"100",20090501,1,1
"101",20090601,1,1
"102",20090701,1,1
"103",20090801,1,1
"104",20090901,1,1
"105",20091001,1,1
"106",20091101,0.463839024549107,1
"107",20091201,0.463839024549107,1
"108",20100101,0,0.76602239826684
"109",20100201,0.107696606448519,0.267846632087827
"110",20100301,0.107696606448519,0
"111",20100401,0.107696606448519,0
"112",20100501,0.107696606448519,0
"113",20100601,0,0.267846632087827
"114",20100701,0.358021921933354,0.267846632087827
"115",20100801,0.358021921933354,0.267846632087827
"116",20100901,0.358021921933354,0
"117",20101001,0.571535630997626,0.732153367912173
"118",20101101,1,0.732153367912173
"119",20101201,1,1
"120",20110101,1,0.732153367912173
"121",20110201,0.767140735809064,0.732153367912173
"122",20110301,0.213513709064272,0.732153367912173
"123",20110401,0.213513709064272,0.732153367912173
"124",20110501,0.463839024549107,1
"125",20110601,0.213513709064272,1
"126",20110701,0,0.501824233820987
"127",20110801,0,0.23397760173316
"128",20110901,0,0
"129",20111001,0,0
"130",20111101,0,0
"131",20111201,0.107696606448519,0
"132",20120101,0,0
"133",20120201,0.428464369002374,0
"134",20120301,0.678789684487209,0
"135",20120401,0.250325315484835,0
"136",20120501,0,0
"137",20120601,0,0
"138",20120701,0.107696606448519,0
"139",20120801,0.107696606448519,0
"140",20120901,0.536160975450893,1
"141",20121001,0.749674684515165,1
"142",20121101,0.749674684515165,1
"143",20121201,0.641978078066646,1
"144",20130101,0.213513709064272,0.501824233820987
"145",20130201,0,0.501824233820987
"146",20130301,0,0.501824233820987
"147",20130401,0.213513709064272,1
"148",20130501,0.213513709064272,0.732153367912173
"149",20130601,0.213513709064272,1
"150",20130701,0.641978078066646,1
"151",20130801,0.892303393551481,1
"152",20130901,0.892303393551481,1
"153",20131001,0.250325315484835,0.267846632087827
"154",20131101,0.250325315484835,0
"155",20131201,0.250325315484835,0
"156",20140101,0,0
"157",20140201,0.107696606448519,0
"158",20140301,0.107696606448519,0.498175766179013
"159",20140401,0.107696606448519,0.498175766179013
"160",20140501,0.107696606448519,0.76602239826684
"161",20140601,0.107696606448519,0.501824233820987
"162",20140701,0.107696606448519,0.501824233820987
"163",20140801,0.250325315484835,0.501824233820987
"164",20140901,0.250325315484835,0
"165",20141001,0.250325315484835,0
"166",20141101,0.250325315484835,0
"167",20141201,0.250325315484835,0
