tm,freight,iron,coal,oil,power,inv
2007-12-1,27100,4981.3,21849.76,2905.7,2541.2,6776898
2008-1-1,22401,4591.51,18735.64,2844.16,2497.43,665017
2008-2-1,21311,4313.19,17000.79,2737,2029.87,884488
2008-3-1,23910,5188.9,21128.71,2889.1,2546.1,1591647
2008-4-1,23213,5141.3,21333.69,2737.9,2424.7,1848328
2008-5-1,23791,5368.6,22700.18,2778,2422.5,2681798
2008-6-1,23228,5393.1,23935.71,2961.19,2229.23,2712699
2008-7-1,23718,5183.11,22028.77,3030.58,2650.51,2993854
2008-8-1,24414,4802.79,22214.15,2919.1,2401.26,3602575
2008-9-1,23435,4532.6,22869.9,2825.1,2224.3,4191832
2008-10-1,23341,4276.05,21927.64,2978.92,2121.6,4391564
2008-11-1,20624,4284.29,22697.18,2726.69,2035.06,4917181
2008-12-1,20546,5101.86,21994.04,2716.79,2274.84,10963930
2009-1-1,21201,4421.55,17234.45,2576.9,2046,4217589
2009-2-1,19993,4613.41,19656.48,2579.8,2036.61,3326953
2009-3-1,22516,5437.93,23342.71,2937.44,2461.85,3326953
2009-4-1,22021,5225.17,22979.98,2942.7,2184.4,4259239
2009-5-1,23072,5735.95,24841.05,3118.8,2200.14,5093126
2009-6-1,22823,6214.23,27908.51,3191.7,2463.16,6299442
2009-7-1,23874,6136.17,25781.75,3311.3,2639.55,4974446
2009-8-1,24201,6223.87,26074.92,3255.75,2716.87,5072651
2009-9-1,23624,6171.76,26316.36,3282.6,2553.87,5548402
2009-10-1,24724,6360.37,27306.83,3328.58,2551.4,5491223
2009-11-1,23625,6292.64,28894.05,3336.3,2829.43,6445701
2009-12-1,24601,6410.67,28062.25,3459.82,3130.94,19403318
2010-1-1,25768,6176.5,25610.07,3370.4,3128,3218398
2010-2-1,23450,5559.2,21298,3191.1,2102.9,2178399
2010-3-1,26487,6839.3,27980.8,3455.7,2947.7,3539164
2010-4-1,25261,6867.6,26928.93,3440.62,2809.8,5308147
2010-5-1,26356,7185.9,28386.43,3579.34,2757.8,5723503
2010-6-1,25461,7239.8,29692.14,3534.67,2579.7,7169805
2010-7-1,26196,6718.7,29190.56,3528.03,2805.1,5673465
2010-8-1,26080,6971.1,30138.35,3472.88,3080.3,7723192
2010-9-1,25287,6426.3,27601.53,3491.05,2612.4,8590483
2010-10-1,26380,6443.6,30065.64,3703.81,2553,8775067
2010-11-1,25524,6601.1,33757.58,3665.52,2820.8,10879503
2010-12-1,25960,6598.3,32757,3872.31,3055.9,14513100
2011-1-1,27630,6733.35,26826.3,3718.72,3113.3,4043567
2011-2-1,25088,6353.35,24749.4,3521.39,2623.9,3038334
2011-3-1,28110,7716.98,30736.49,3766.33,3269.3,5079759
2011-4-1,26676,7263.42,31808.16,3719.2,3093,5165670
2011-5-1,28107,7798.58,32730.22,3847.03,3178.3,4671973
2011-6-1,27368,7875.12,34020.08,3555.58,3154.7,5812323
2011-7-1,27891,7660.17,32782.52,3748.71,3420.7,4430292
2011-8-1,27760,7718.84,32740.48,3678.53,3548.2,3530430
2011-9-1,26990,7609.17,31800,3609.5,3130.8,3770910
2011-10-1,27888,7288.36,33000,3710.6,2993.1,3355978
2011-11-1,26971,6997.04,32100,3786.77,3086.7,6265490
2011-12-1,27656,7116.74,31100,3923.42,3525.3,13933274
2012-1-1,27831,6802.4,25600,3967.6,2943.1,1228220
2012-2-1,25908,7127,29200,3686.3,3145.7,1764944
2012-3-1,28628,8317.32,29500,3836.84,3519.1,2970745
2012-4-1,27683,7997.6,31000,3695.43,3051.5,2995839
2012-5-1,28759,8156.15,31500,3833.13,3116.9,4005643
2012-6-1,26337,8344.03,31500,3598.25,2936.1,4809698
2012-7-1,25333,8151.5,31000,3760,3291.1,4796316
2012-8-1,25195,7874.08,30700,3774.15,3274,4578418
2012-9-1,25377,8058.07,31500,3876.07,2876.5,7265804
2012-10-1,26768,8116.91,31500,3991.49,2939,8101269
2012-11-1,26856,8095.71,32980,4161.22,3204.4,8180016
2012-12-1,27672,8145.34,31980,4312.13,3569.6,14504602
2013-1-1,28118,7913.35,31000,4312.13,3215,2099360
2013-2-1,25098,7913.35,24000,4082.51,3215,1663207
2013-3-1,27651,8723.8,29000,4082.51,3576.01,2938148
2013-4-1,25496,8875.7,30500,3831.9,3355.08,4389559
2013-5-1,26220,9190.2,30700,3906.2,3297.81,4670740
2013-6-1,25265,9080,30400,3959.8,3296.37,5832110
2013-7-1,25972,9255.4,30000,4029.6,3773.94,4581394
2013-8-1,26593,9212.5,30000,3973.9,4040.37,5153941
2013-9-1,26987,9381.1,31500,3864.6,3346.5,5642725
2013-10-1,28404,9286.5,32000,4107.6,3420.95,5955716
2013-11-1,27306,9046.3,33000,4017.3,3589.12,8211373
2013-12-1,28281,8884,32000,4201.6,4026.59,15436205
