tm,adv,coor,delay,adv.input,coor.input,delay.input,hyl,gyzjz,hyzzl,x12hyl,x12gyzjz,x12hyzzl,kyl,kyzzl,gdzctz,x12kyl,x12kyzzl,x12gdzctz,gc,ym,yy,hlfdl,x12gc,x12ym,x12yy,x12hlfdl
2002/8/1,0,0,0,0,0,0,1.223113305,13.41569514,1034.988855,1.004793717,1.119732222,1.007941538,0.834595472,2733.24476,801809.26,1.008633465,1.1714165,1.177860314,1619.866186,9200.88793,1858.9561,1120.104782,1.008449261,1.016680804,1.007224402,1.025209131
2002/9/1,0,0,0,0,0,0,1.229094725,13.84600386,1039.850182,1.003919716,1.081144182,1.006837371,0.830258925,2722.96597,804861.667,1.007240507,1.167280419,1.171367036,1636.519786,9324.885137,1872.738777,1135.245861,1.004433167,1.017093686,1.021982922,1.019334419
2002/10/1,0,0,0,0,0,0,1.232496902,14.34095224,1045.303212,1.003609394,1.046327824,1.00635673,0.829395416,2713.818272,800658.8345,1.006708512,1.168919138,1.163883879,1656.361203,9488.276559,1893.133381,1152.880595,1.001912869,1.018139314,1.021340234,1.015213157
2002/11/1,0,0,0,0,0,0,1.233522554,14.86517455,1051.32103,1.003911378,1.019838183,1.006520239,0.828548964,2706.297763,786368.584,1.007865257,1.173994496,1.156507602,1676.496631,9673.208987,1916.029117,1171.559295,1.000987281,1.019366109,1.011364796,1.013026167
2002/12/1,0,0,0,0,0,0,1.23391321,15.25094862,1057.318833,1.004637761,1.003004472,1.007162196,0.824054395,2703.662279,763385.1169,1.011087837,1.17875628,1.150489081,1698.955285,9862.564874,1935.220288,1188.249552,1.001675044,1.020174004,1.002840111,1.012277036
2003/1/1,0,0,0,0,0,0,1.237016898,15.40190818,1064.45112,1.005415446,0.995229347,1.007974514,0.810108149,2711.303762,736210.1065,1.01643319,1.179018491,1.146837164,1726.102373,10047.47143,1945.578068,1202.150217,1.00387573,1.0202675,1.001450551,1.012848356
2003/2/1,0,0,0,0,0,0,1.245261614,15.36311484,1073.6143,1.00615187,0.994937938,1.008854634,0.785364482,2711.127472,711241.1737,1.023385755,1.173466279,1.146397268,1757.989565,10236.92425,1946.805282,1213.242927,1.007196517,1.019721419,1.002474962,1.014301219
2003/3/1,0,0,0,0,0,0,1.259146359,15.28675834,1084.853564,1.006861349,1.000362596,1.009782107,0.755220966,2677.418001,693536.9129,1.031100526,1.164318678,1.150037752,1798.174734,10430.72962,1944.51259,1225.030962,1.011364568,1.018792859,1.006607083,1.015990674
2003/4/1,0,0,0,0,0,0,1.276478633,15.32055653,1097.728901,1.007537897,1.010810962,1.01064617,0.72997302,2604.169418,685299.1679,1.039232344,1.155858449,1.156673343,1844.668141,10609.83656,1947.247155,1240.455903,1.015684158,1.017933061,1.016047698,1.017806143
2003/5/1,0,0,0,0,0,0,1.292913563,15.51595134,1110.683041,1.008075421,1.024775136,1.011296209,0.718921906,2515.378286,685623.0547,1.046975273,1.152359744,1.164863383,1894.572955,10760.41051,1960.538848,1258.67564,1.01992926,1.017571611,1.028580444,1.019604816
2003/6/1,0,0,0,0,0,0,1.304302302,15.86704752,1121.220397,1.008321863,1.040162384,1.011784211,0.727768029,2449.706874,690825.356,1.053157304,1.155898262,1.173201189,1944.841767,10882.24183,1986.340674,1279.958506,1.023468723,1.018132793,1.035185172,1.020527416
2003/7/1,0,0,0,0,0,0,1.310269358,16.33712293,1129.106663,1.008067009,1.054751733,1.011980262,0.754701794,2433.087796,698574.4427,1.056939994,1.165835362,1.180225781,1992.127421,10984.32245,2021.270434,1301.607105,1.025817568,1.019574199,1.033817183,1.019859626
2003/8/1,0,0,0,0,0,0,1.31314808,16.84457419,1135.02975,1.007217425,1.064936941,1.011836668,0.791139154,2456.005841,709710.74,1.057923935,1.178219191,1.18482616,2035.614992,11081.81884,2060.865058,1319.719157,1.026641838,1.021562626,1.021479404,1.016990475
2003/9/1,0,0,0,0,0,0,1.316504322,17.28039841,1140.180278,1.005891533,1.068611474,1.011551775,0.826355943,2499.893898,723171.4476,1.056105609,1.187734178,1.186547034,2076.929046,11198.27546,2100.247021,1333.721468,1.025799403,1.023784418,1.008725774,1.011991866
2003/10/1,0,0,0,0,0,0,1.323362479,17.59709849,1146.052341,1.004415423,1.06468045,1.011151075,0.851564923,2563.265123,734732.3225,1.051808226,1.188862928,1.185288295,2118.628855,11351.62387,2134.217567,1344.635508,1.023643891,1.02610142,1.002888145,1.00529442
2003/11/1,0,0,0,0,0,0,1.333642296,17.84031096,1153.797084,1.003219754,1.053891219,1.010781163,0.863353159,2657.320068,741261.8839,1.045568991,1.180265099,1.181757201,2161.745412,11564.07898,2160.978657,1355.975271,1.020913454,1.028194634,1.008600709,0.997944723
2003/12/1,0,0,0,0,0,0,1.345787922,18.10301914,1163.635691,1.002658373,1.038743255,1.010704009,0.864412569,2769.344133,740352.5867,1.038090343,1.166592687,1.177576443,2203.541171,11824.16633,2180.726398,1370.545436,1.018391129,1.029694201,1.019809414,0.991400247
2004/1/1,0,0,0,0,0,0,1.356617662,18.31340758,1174.291847,1.002968095,1.022618989,1.011152381,0.863829211,2866.295286,732707.1035,1.030244284,1.154279088,1.174448434,2237.873308,12090.49295,2196.853946,1387.548966,1.016978775,1.030536542,1.028225669,0.986696281
2004/2/1,0,0,0,0,0,0,1.364618368,18.31062666,1184.784561,1.00399177,1.008478001,1.012039963,0.868514307,2930.022528,721745.7958,1.023249873,1.147481502,1.173427738,2264.690812,12328.01904,2211.434078,1404.776794,1.017093896,1.030732265,1.029824904,0.984644333
2004/3/1,0,0,0,0,0,0,1.371166314,18.03541625,1194.710515,1.005362611,0.998349305,1.013155201,0.879395987,2968.864943,711677.337,1.017850185,1.147826645,1.174250833,2284.335254,12531.04345,2226.266784,1420.358242,1.018410124,1.030135397,1.024213434,0.985768053
2004/4/1,0,0,0,0,0,0,1.379124634,17.54771772,1204.650332,1.006729814,0.992142364,1.014173763,0.892914252,3005.912322,706145.9425,1.014243945,1.154678142,1.175879863,2303.811543,12711.61834,2242.185795,1431.781346,1.020527146,1.028427154,1.015833111,0.98995451
2004/5/1,0,0,0,0,0,0,1.391185326,17.0092332,1216.372412,1.007939018,0.98860705,1.014761224,0.903874525,3053.863055,707403.5144,1.012216411,1.164629446,1.178092591,2334.038661,12882.29383,2258.080374,1441.888093,1.023032085,1.025715447,1.013321542,0.996403822
2004/6/1,0,0,0,0,0,0,1.406661934,16.51375761,1230.630707,1.008864207,0.987359392,1.014626896,0.907564166,3101.886783,714885.2326,1.011357525,1.173379007,1.181102807,2382.473586,13052.59651,2273.468047,1452.266187,1.025706562,1.022190915,1.014504255,1.003822821
2004/7/1,0,0,0,0,0,0,1.423078129,16.1114227,1246.061415,1.009576891,0.988827455,1.013907072,0.902431124,3132.881378,725623.4619,1.011296585,1.177193679,1.184685226,2451.800743,13212.61702,2288.610685,1464.617251,1.028236305,1.01846128,1.01627262,1.010704085
2004/8/1,0,0,0,0,0,0,1.438407643,15.8286792,1260.706585,1.010051906,0.99421735,1.012729615,0.890218811,3143.188817,739061.9467,1.011726683,1.175798535,1.188710307,2533.649894,13359.13139,2303.467242,1483.258642,1.029799335,1.015272726,1.016970989,1.016051159
2004/9/1,0,0,0,0,0,0,1.455418061,15.66282654,1274.800189,1.010256316,1.003257264,1.011317741,0.876724529,3144.065634,753078.8353,1.012584187,1.171862111,1.192973877,2616.116412,13479.69854,2316.912422,1505.669025,1.029910953,1.013193781,1.018445494,1.019111204
2004/10/1,0,0,0,0,0,0,1.478071307,15.50939815,1287.726111,1.010133232,1.014744478,1.009832566,0.869603803,3133.014949,769236.2259,1.01388047,1.169184018,1.196506358,2690.841355,13562.14681,2332.301576,1529.990866,1.028553952,1.012227984,1.021282508,1.019748154
2004/11/1,0,0,0,0,0,0,1.510461928,15.28412334,1300.324181,1.009560782,1.026438461,1.008242427,0.873816957,3114.399619,791860.9251,1.015348009,1.170024939,1.198764715,2752.377848,13601.17133,2350.969444,1552.750814,1.025815903,1.012189444,1.018752033,1.018305923
2004/12/1,0,0,0,0,0,0,1.552754846,15.02212857,1313.97001,1.008618093,1.036883535,1.006601014,0.889183053,3105.418529,824329.5935,1.016596115,1.173119414,1.199998054,2800.243091,13623.30292,2371.180334,1571.136524,1.022413664,1.013128008,1.014001257,1.015637712
2005/1/1,0,0,0,0,0,0,1.599974194,14.84699232,1329.010015,1.007646313,1.045186975,1.005150891,0.911179025,3123.013441,868176.0784,1.017531298,1.176839266,1.200530284,2838.303312,13680.30813,2388.088578,1584.873667,1.018771319,1.014908278,1.007323406,1.012545773
2005/2/1,0,0,0,0,0,0,1.6449921,14.8529738,1345.162516,1.007038367,1.051520782,1.00431397,0.933968518,3174.42865,921007.4884,1.017637106,1.179965835,1.200242753,2870.14324,13806.81798,2399.221926,1594.541335,1.015757043,1.017200006,1.002769589,1.01004369
2005/3/1,0,0,0,0,0,0,1.680493782,15.02557835,1361.285608,1.006928887,1.056031299,1.004169497,0.953242875,3249.521929,975531.6045,1.017119237,1.18141904,1.198240996,2900.31082,14017.72831,2403.671825,1600.318419,1.014028959,1.019626503,1.000145951,1.008604002
2005/4/1,0,0,0,0,0,0,1.702465045,15.29248249,1374.836277,1.007423031,1.058916715,1.004702551,0.965713923,3325.935574,1022693.169,1.016184803,1.180540173,1.19445616,2936.099792,14300.84446,2405.116184,1606.264649,1.013944778,1.02200506,1.000919463,1.008824599
2005/5/1,0,0,0,0,0,0,1.713044006,15.57417675,1383.831621,1.008386218,1.058299715,1.005979753,0.970535182,3382.737966,1058193.905,1.014982009,1.177816472,1.19133023,2979.460312,14622.99599,2409.672811,1614.306114,1.015244153,1.023954758,1.0016036,1.010211758
2005/6/1,0,0,0,0,0,0,1.719295713,15.82244401,1389.668314,1.009736149,1.053152491,1.008049312,0.969282772,3414.513202,1082107.014,1.013910385,1.174596602,1.189628554,3030.080222,14942.60244,2418.37177,1624.572027,1.01736741,1.025291079,1.004156015,1.012379648
2005/7/1,0,0,0,0,0,0,1.729442063,16.0246378,1395.497381,1.011390659,1.04273837,1.010711685,0.964826009,3430.389818,1098857.295,1.013420481,1.171964389,1.190663044,3087.194307,15235.59926,2427.107408,1638.620932,1.019928142,1.025742103,1.005022145,1.014648269
2005/8/1,0,0,0,0,0,0,1.746813721,16.17858483,1403.641203,1.013282774,1.027813654,1.013715925,0.961401926,3432.056077,1110648.535,1.013759572,1.170149106,1.195710678,3149.908356,15481.51214,2432.416388,1653.155231,1.022215048,1.025308812,1.004555295,1.016548233
2005/9/1,0,0,0,0,0,0,1.768430698,16.36223731,1412.623958,1.015207845,1.010595572,1.016567441,0.962760966,3425.291786,1129862.248,1.01481589,1.168868605,1.202987179,3216.800558,15686.15842,2434.766334,1667.740023,1.024032212,1.023990479,0.999108726,1.017748211
2005/10/1,0,0,0,0,0,0,1.788306854,16.64052136,1421.195371,1.016960637,0.993436544,1.018744359,0.968967569,3426.73482,1172966.529,1.016254364,1.168801553,1.211715907,3282.401228,15870.58876,2436.492945,1682.719744,1.025074056,1.021893051,0.99615877,1.018447654
