freight
224007901
213114173
239102306
232127203
237914855
232275338
237182632
244138912
234351302
233412333
206240215
205455775
212014270
199934527
225164527
220210618
230721107
228227640
238735096
242014730
236240802
247235623
236245971
246011724
257680799
234498988
264866368
252609405
263558571
254605135
261960198
260799228
252870877
263801262
255241327
259602395
276304288
250876322
281099157
266763499
281073190
273678482
278908733
277603743
269899465
278881863
269707851
276562769
278313954
259078436
286282190
276827383
287589969
263367001
253329645
251947947
253766482
267679958
268556480
276716337
281181665
250978603
276508328
254958276
262204673
252652399
259716795
265932202
269873599
284044126
273060352
282806591
276609410
233737392
262198041
245629840
258234628
247859463
252457850
261052960
253872696
264371067
253847009
254714789
254172342
212129909
236338214
222742163
229455294
220030117
225232022
