steel
1090.91
1131.3
1322.59
1284.83
1328.43
1360.68
1295.97
1340.55
1316.49
1353.69
1534.05
1385.88
1400.8
1327.14
1602.25
1610.64
1588.75
1662.49
1567.36
1652.16
1660.38
1654.84
1627.3
1864.23
1647.52
1582.25
1826.05
1871.06
1998.17
1970.6
1980.1
2110.11
2043.24
2158.63
2187.79
2206.06
2118.34
2225.16
2382.96
2218.37
2400.49
2376.4
2456.93
2548.2
2664.98
2759.26
2811.76
2775.85
2611.01
2577.59
3064.88
2949.83
3078.5
3030.08
3055.38
3253.84
3260.83
3309.75
3333.03
3592.3
3246.67
3182.18
3773.54
3828.31
4029.09
4135.39
3794.37
3906.2
4007.74
4158.08
4431.47
4192.39
4043.99
3856.81
4733.6
4586.4
4688.6
5115.3
4844.3
4828.1
5056.7
4902.6
4823.1
4981.3
4591.51
4313.19
5188.9
5141.3
5368.6
5393.1
5183.11
4802.79
4532.6
4276.05
4284.29
5101.86
4421.55
4613.41
5437.93
5225.17
5735.95
6214.23
6136.17
6223.87
6171.76
6360.37
6292.64
6410.67
6176.5
5559.2
6839.3
6867.6
7185.9
7239.8
6718.7
6971.1
6426.3
6443.6
6601.1
6598.3
6733.35
6353.35
7716.98
7263.42
7798.58
7875.12
7660.17
7718.84
7609.17
7288.36
6997.04
7116.74
6802.4
7127
8317.32
7997.6
8156.15
8344.03
8151.5
7874.08
8058.07
8116.91
8095.71
8145.34
8159.9
7666.8
8961.4
8760.6
9119.18
9083.13
9074.6
9193.48
9355.08
9280.46
9032.16
9041.11
8707.95 
7865.25 
9506.50 
9249.90 
9682.33 
9804.41 
9476.31 
9497.53 
9574.98 
9525.00 
9205.00 
9822.00 
