"tm3","DIx_scale","DIt_scale","DIz_scale"
2002-12-01,0.894357914177509,0,0
2003-12-01,1,0.144183123146728,0.243308395311219
2004-12-01,1,1,0.135282901670195
2005-12-01,0.894357914177509,1,0.444849903639066
2006-12-01,0.894357914177509,1,0.0662586066576512
2007-12-01,0.734662571827365,1,0.294774996976296
2008-12-01,0.265337428172635,0.67716394488056,0
2009-12-01,0.804895328150689,0,0.756691604688781
2010-12-01,0.566084185844437,1,1
2011-12-01,0.460442100021946,0.821347068027288,0.520525698940049
2012-12-01,0,0,0.621408703018585
2013-12-01,0,0,0.302424512406383
