"tm1","DIx_trans","DIt_trans","DIz_trans"
2001-02-01,0.749674685103055,0.364514593536065,0.296868024441355
2001-03-01,0.749674685103055,0.364514593536065,0.296868024441355
2001-04-01,0.53544249992994,0.364514593536065,0.296868024441355
2001-05-01,0.321210314756824,0.364514593536065,0.296868024441355
2001-06-01,0.213513708565284,0.364514593536065,0.193065445429646
2001-07-01,0,0.364514593536065,0.193065445429646
2001-08-01,0.250325314896945,0.364514593536065,0.193065445429646
2001-09-01,0.250325314896945,0.659697662206444,0.193065445429646
2001-10-01,0.678789685243176,0.659697662206444,0.193065445429646
2001-11-01,0.678789685243176,0.635485406463935,0
2001-12-01,0.678789685243176,0.635485406463935,0.126686081283886
2002-01-01,0.89230339380846,0.340302337793556,0.126686081283886
2002-02-01,1,0.340302337793556,0.319751526713533
2002-03-01,0.749674685103055,0.340302337793556,0.296868024441355
2002-04-01,0.749674685103055,0.340302337793556,0.296868024441355
2002-05-01,0.749674685103055,0.340302337793556,0.193065445429646
2002-06-01,0.321210314756824,0.635485406463935,0.193065445429646
2002-07-01,0.213513708565284,1,0.193065445429646
2002-08-01,0.463839023462229,1,0.193065445429646
2002-09-01,0.571535629653768,1,0.193065445429646
2002-10-01,0.571535629653768,0.635485406463935,0.193065445429646
2002-11-01,0.571535629653768,0.635485406463935,0.193065445429646
2002-12-01,1,0.635485406463935,0.193065445429646
2003-01-01,0.89230339380846,0.635485406463935,0.193065445429646
2003-02-01,0.89230339380846,0.659697662206444,0.193065445429646
2003-03-01,0.89230339380846,0.659697662206444,0
2003-04-01,0.89230339380846,1,0
2003-05-01,1,1,0
2003-06-01,1,1,0.103802579011709
2003-07-01,0.749674685103055,0.635485406463935,0.296868024441355
2003-08-01,0.749674685103055,0.635485406463935,1
2003-09-01,1,0.635485406463935,1
2003-10-01,0.893243145717358,1,1
2003-11-01,1,1,0.296868024441355
2003-12-01,1,1,0.193065445429646
2004-01-01,1,1,0.193065445429646
2004-02-01,0.571535629653768,1,0.193065445429646
2004-03-01,0.571535629653768,0.659697662206444,0.296868024441355
2004-04-01,0.358021921088484,0.659697662206444,0.296868024441355
2004-05-01,0.786486291434716,0.659697662206444,0.296868024441355
2004-06-01,0.786486291434716,0.659697662206444,0.193065445429646
2004-07-01,1,0.659697662206444,0.544631433208969
2004-08-01,1,0.659697662206444,0.896197420988291
2004-09-01,0.749674685103055,0.659697662206444,0.896197420988291
2004-10-01,0.749674685103055,0.659697662206444,0.896197420988291
2004-11-01,0.749674685103055,0.659697662206444,0.896197420988291
2004-12-01,0.749674685103055,0.659697662206444,1
2005-01-01,0.749674685103055,0.659697662206444,1
2005-02-01,0.250325314896945,1,1
2005-03-01,0.250325314896945,1,1
2005-04-01,0.250325314896945,1,1
2005-05-01,0.678789685243176,1,0.896197420988291
2005-06-01,0.678789685243176,0.635485406463935,0.896197420988291
2005-07-01,0.89230339380846,1,0.896197420988291
2005-08-01,0.89230339380846,1,0.193065445429646
2005-09-01,0.89230339380846,1,0.896197420988291
2005-10-01,0.89230339380846,1,1
2005-11-01,0.89230339380846,1,1
2005-12-01,0.89230339380846,1,1
2006-01-01,0.89230339380846,0.635485406463935,1
2006-02-01,1,0.635485406463935,1
2006-03-01,0.641978078911516,0.295183068670378,1
2006-04-01,0.641978078911516,0.659697662206444,1
2006-05-01,0.641978078911516,0.659697662206444,1
2006-06-01,0.213513708565284,0.659697662206444,0.193065445429646
2006-07-01,0.213513708565284,0.659697662206444,0.193065445429646
2006-08-01,0.571535629653768,0.659697662206444,0.193065445429646
2006-09-01,1,0.659697662206444,0.193065445429646
2006-10-01,1,0.659697662206444,0.193065445429646
2006-11-01,1,0.659697662206444,0.193065445429646
2006-12-01,0.749674685103055,0.295183068670378,0.193065445429646
2007-01-01,0.749674685103055,0.635485406463935,0.193065445429646
2007-02-01,0.749674685103055,0.340302337793556,0.193065445429646
2007-03-01,0.749674685103055,0.340302337793556,1
2007-04-01,0.749674685103055,0.522559634561589,1
2007-05-01,1,0.704816931329622,1
2007-06-01,0.89230339380846,0.704816931329622,1
2007-07-01,0.89230339380846,1,1
2007-08-01,0.89230339380846,1,1.02288350227218
2007-09-01,0.678789685243176,1,0.319751526713533
2007-10-01,0.358021921088484,0.659697662206444,0.204507196565735
2007-11-01,0.358021921088484,0.659697662206444,0.193065445429646
2007-12-01,0.358021921088484,0.659697662206444,0.193065445429646
2008-01-01,0.358021921088484,0.659697662206444,0.896197420988291
2008-02-01,0.250325314896945,0.659697662206444,0.896197420988291
2008-03-01,0.250325314896945,0.295183068670378,0.896197420988291
2008-04-01,0.250325314896945,0.295183068670378,0.896197420988291
2008-05-01,0,0.295183068670378,0.896197420988291
2008-06-01,0,0.295183068670378,0.90763917212438
2008-07-01,0,0,0.919080923260468
2008-08-01,0,0,0.919080923260468
2008-09-01,0,0,1.02288350227218
2008-10-01,0,0,0.919080923260468
2008-11-01,0,0,0.919080923260468
