tm,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,hyzzl,hyl,gyzjz,kyl,kyzzl,gdzctz,yylc
2004/3/1,0,0,0,2284.335,12525.76196,2226.266784,1420.358242,1194.278028,1.37,18.035,0.879393883,2982.067647,712033.2383,73833.45791
2004/4/1,0,0,0,2303.812,12701.99878,2242.185795,1431.781346,1204.633445,1.373,17.548,0.892914229,3015.708836,706442.5127,73949.49895
2004/5/1,0,0,0,2334.039,12871.76311,2258.080374,1441.888093,1216.720642,1.385,17.009,0.903876766,3057.020194,707539.9044,74061.81067
2004/6/1,0,0,0,2382.474,13043.06043,2273.468047,1452.266187,1231.189267,1.406,16.514,0.907567542,3098.710679,714808.9354,74169.83624
2004/7/1,0,0,0,2451.801,13208.39203,2288.610685,1464.617251,1246.457287,1.43,16.111,0.902435526,3127.20807,725365.7006,74279.13207
2004/8/1,0,0,0,2533.65,13358.14097,2303.467242,1483.258642,1261.012093,1.447,15.829,0.890223375,3137.0578,738714.1741,74394.0811
2004/9/1,0,0,0,2616.116,13474.06777,2316.912422,1505.669025,1275.522717,1.457,15.663,0.87672722,3135.862485,752750.7802,74513.99046
2004/10/1,0,0,0,2690.841,13544.21149,2332.301576,1529.990866,1289.236381,1.469,15.509,0.869601055,3129.212881,769000.8228,74623.36348
2004/11/1,0,0,0,2752.378,13567.667,2350.969444,1552.750814,1302.743358,1.497,15.284,0.873804483,3126.257299,791762.716,74710.73138
2004/12/1,0,0,0,2800.243,13577.00848,2371.180334,1571.136524,1317.076781,1.545,15.022,0.889162787,3136.770681,824362.169,74778.87968
2005/1/1,0,0,0,2838.303,13628.88426,2388.088578,1584.873667,1332.314422,1.604,14.847,0.911159606,3165.384829,868301.9734,74843.21691
2005/2/1,0,0,0,2870.143,13759.63072,2399.221926,1594.541335,1348.087747,1.657,14.853,0.933961553,3212.561268,921312.8116,74920.59775
2005/3/1,0,0,0,2900.311,13981.45316,2403.671825,1600.318419,1363.377775,1.69,15.026,0.953257239,3271.933923,975968.4195,75017.1589
2005/4/1,0,0,0,2936.1,14278.06613,2405.116184,1606.264649,1375.962252,1.705,15.292,0.965750712,3332.231614,1023109.97,75125.54591
2005/5/1,0,0,0,2979.46,14611.18275,2409.672811,1614.306114,1384.209735,1.712,15.574,0.970585693,3381.634267,1058397.018,75234.44081
2005/6/1,0,0,0,3030.08,14936.87153,2418.37177,1624.572027,1389.761511,1.716,15.822,0.969329126,3413.909176,1081941.932,75346.94727
2005/7/1,0,0,0,3087.194,15230.05385,2427.107408,1638.620932,1395.616547,1.724,16.025,0.964851709,3428.515628,1098321.332,75467.20292
2005/8/1,0,0,0,3149.908,15473.90342,2432.416388,1653.155231,1404.057968,1.738,16.179,0.961395346,3428.916894,1109857.182,75594.13759
2005/9/1,0,0,0,3216.801,15679.12804,2434.766334,1667.740023,1413.449642,1.764,16.362,0.962720413,3422.36042,1128973.977,75730.6214
2005/10/1,0,0,0,3282.401,15864.24764,2436.492945,1682.719744,1422.693127,1.793,16.641,0.968899152,3426.229051,1172248.407,75884.26087
2005/11/1,0,0,0,3346.88,16054.3893,2440.316089,1698.115904,1431.806463,1.813,16.975,0.979514183,3451.538403,1236821.116,76055.41774
2005/12/1,0,0,0,3416.426,16266.3661,2449.116954,1715.372805,1440.361451,1.817,17.237,0.993369818,3493.233625,1322873.88,76230.18485
2006/1/1,0,0,0,3497.834,16487.60873,2462.773072,1735.361574,1448.801653,1.811,17.39,1.008739585,3534.31006,1430839.468,76387.69481
2006/2/1,0,0,0,3588.37,16682.59884,2478.152111,1757.741987,1457.049606,1.81,17.451,1.02422555,3562.934259,1539974.603,76514.93782
2006/3/1,0,0,0,3675.375,16822.6729,2489.969979,1783.038394,1463.971266,1.824,17.417,1.0382673,3583.569183,1637799.864,76616.6889
2006/4/1,0,0,0,3744.547,16903.43168,2495.440521,1810.546539,1470.344478,1.845,17.303,1.048816756,3608.466173,1710176.165,76712.6872
2006/5/1,0,0,0,3793.947,16963.54639,2493.799969,1839.802532,1477.851675,1.861,17.115,1.055047749,3646.543761,1743673.059,76821.75986
2006/6/1,0,0,0,3831.88,17033.19056,2491.848413,1872.453018,1487.54449,1.873,16.863,1.056913241,3691.982623,1745275.771,76953.78168
2006/7/1,0,0,0,3868.875,17161.96756,2496.856185,1909.570986,1499.66939,1.888,16.573,1.05650147,3722.860947,1733908.334,77118.56484
