tm,hyl,hyzzl,kyl,kyzzl
2011/8/1,2072.906,2.602,1.585,5663.219
2011/9/1,2069.435,2.593,1.589,5628.398
2011/10/1,2062.447,2.582,1.586,5428.664
2011/11/1,2056.576,2.573,1.577,5104.082
2011/12/1,2056.781,2.571,1.565,4815.467
2012/1/1,2063.102,2.576,1.555,4726.26
2012/2/1,2069.769,2.584,1.551,4892.53
2012/3/1,2071.191,2.588,1.555,5216.732
2012/4/1,2063.1,2.583,1.567,5528.476
2012/5/1,2043.695,2.564,1.581,5705.298
2012/6/1,2016.673,2.536,1.59,5792.942
2012/7/1,1990.267,2.506,1.597,5883.701
2012/8/1,1973.972,2.485,1.604,5984.88
2012/9/1,1972.322,2.48,1.613,5970.777
2012/10/1,1983.592,2.491,1.628,5749.719
2012/11/1,2001.111,2.51,1.65,5258.235
2012/12/1,2014.768,2.527,1.674,4517.881
2013/1/1,2017.307,2.531,1.697,3641.207
2013/2/1,2008.213,2.519,1.714,2761.765
2013/3/1,1990.789,2.496,1.724,1998.081
2013/4/1,1972.478,2.472,1.732,1462.55
2013/5/1,1963.069,2.462,1.74,1182.375
2013/6/1,1967.282,2.473,1.75,1063.077
2013/7/1,1982.85,2.501,1.761,967.06
2013/8/1,2002.641,2.538,1.773,893.459
2013/9/1,2017.228,2.57,1.787,890.076
2013/10/1,2017.464,2.582,1.802,997.321
2013/11/1,1998.885,2.569,1.817,1226.689
2013/12/1,1964.194,2.533,1.836,1519.036
2014/1/1,1921.65,2.485,1.859,1770.3
2014/2/1,1882.73,2.439,1.883,1886.825
2014/3/1,1856.679,2.407,1.907,1836.907
2014/4/1,1848.091,2.395,1.929,1656.598
2014/5/1,1853.963,2.401,1.951,1434.697
2014/6/1,1868.388,2.418,1.97,1252.967
2014/7/1,1882.776,2.436,1.986,1122.139
2014/8/1,1889.845,2.444,2.001,991.026
2014/9/1,1888.025,2.439,2.019,825.282
2014/10/1,1880.614,2.426,2.038,633.895
2014/11/1,1870.902,2.408,2.058,444.125
2014/12/1,1858.608,2.387,2.079,265.67
