tm,iron_output,oil_processing_volume,coal_output,coalfired_power_generation,industrial_added_value,Industrial_Added_Value_Rate,Investment_in_Fixed_Assets
2007/1/1,4339.287,18369.62,2644.663,2147.722,14.92,12.6,1689884.405
2007/2/1,4404.795,18402.443,2662.68,2166.376,15.35,12.6,1712261.018
2007/3/1,4463.988,18459.495,2681.371,2186.968,15.974,17.6,1749815.558
2007/4/1,4526.6,18575.841,2700.325,2211.442,16.65,17.4,1800817.963
2007/5/1,4598.518,18750.621,2717.169,2238.867,17.256,18.1,1868438.523
2007/6/1,4676.709,18956.174,2728.825,2267.214,17.721,19.4,1937274.603
2007/7/1,4758.983,19161.84,2735.297,2291.95,18.023,18,1994469.64
2007/8/1,4839.61,19342.597,2739.929,2312.533,18.202,17.5,2036993.842
2007/9/1,4906.275,19528.534,2749.768,2328.275,18.265,18.9,2061538.243
2007/10/1,4948.51,19754.589,2768.997,2340.17,18.185,17.9,2071391.119
2007/11/1,4964.245,20035.796,2796.717,2352.166,17.92,17.3,2071698.443
2007/12/1,4968.534,20355.201,2826.539,2368.748,17.511,17.4,2084994.217
2008/1/1,4974.893,20717.477,2851.463,2385.071,17.033,15.4,2122434.438
2008/2/1,4988.492,21089.474,2867.101,2401.631,16.578,15.4,2185124.305
2008/3/1,5010.138,21409.96,2875.279,2416.376,16.213,17.8,2288080.658
2008/4/1,5023.148,21671.041,2880.11,2424.773,15.923,15.7,2455513.92
2008/5/1,5004.497,21861.531,2885.46,2424.831,15.528,16,2694236.666
2008/6/1,4945.275,21990.743,2889.146,2410.224,14.857,16,2993708.911
2008/7/1,4851.144,22014.208,2886.235,2375.672,13.85,14.7,3301538.425
2008/8/1,4738.081,21907.822,2872.621,2322.875,12.562,12.8,3582335.07
2008/9/1,4643.456,21693.698,2845.553,2258.635,11.168,11.4,3859919.942
2008/10/1,4604.969,21486.624,2809.613,2200.974,9.889,8.2,4146918.722
2008/11/1,4634.032,21398.537,2778.05,2161.831,8.849,5.4,4444880.352
2008/12/1,4717.024,21486.18,2763.666,2144.585,8.124,5.7,4733611.04
2009/1/1,4833.334,21784.917,2774.891,2152.266,7.726,11,5008090.596
2009/2/1,4969.887,22299.894,2815.009,2183.588,7.611,11,5265270.215
2009/3/1,5120.937,22972.571,2880.721,2227.862,7.733,8.3,5477974.368
2009/4/1,5288.013,23674.924,2963.382,2281.676,8.087,7.3,5618168.653
2009/5/1,5474.429,24301.982,3053.006,2338.608,8.77,8.9,5687086.98
2009/6/1,5677.284,24846.077,3139.528,2402.291,9.826,10.7,5680755.33
2009/7/1,5889.103,25283.233,3213.872,2480.783,11.219,10.8,5609579.992
2009/8/1,6097.374,25692.49,3270.237,2573.123,12.817,12.3,5507018.194
2009/9/1,6280.915,26079.375,3308.622,2671.106,14.357,13.9,5404327.623
2009/10/1,6410.085,26469.094,3332.282,2756.992,15.588,16.1,5320622.351
2009/11/1,6484.296,26846.563,3346.055,2818.75,16.427,19.2,5312359.209
2009/12/1,6523.562,27186.32,3359.111,2856.244,16.957,18.5,5385404.075
2010/1/1,6550.127,27410.325,3377.45,2869.11,17.206,12.8,5543370.978
2010/2/1,6572.471,27484.648,3402.397,2854.141,17.176,12.8,5721073.966
2010/3/1,6602.808,27528.337,3429.905,2822.856,16.916,18.1,5929193.328
2010/4/1,6640.683,27611.445,3454.043,2788.838,16.455,17.8,6187701.225
2010/5/1,6666.931,27729.63,3473.749,2759.795,15.82,16.5,6530295.375
2010/6/1,6669.065,27913.298,3492.282,2742.125,15.073,13.7,6953538.683
2010/7/1,6645.756,28226.158,3514.336,2733.641,14.333,13.4,7411565.161
2010/8/1,6615.79,28656.043,3544.361,2736.302,13.727,13.9,7812863.832
2010/9/1,6611.067,29132.128,3583.197,2752.989,13.415,13.3,8083753.198
2010/10/1,6663.717,29620.923,3626.209,2783.904,13.413,13.1,8232342.415
2010/11/1,6768.758,30053.654,3666.433,2825.949,13.579,13.3,8268470.52
2010/12/1,6900.332,30432.233,3698.479,2874.099,13.727,13.5,8160305.183
2011/1/1,7031.735,30752.901,3720.655,2932.704,13.839,14.9,7926167.291
2011/2/1,7143.247,31031.39,3735.105,3002.743,13.973,14.9,7602652.608
2011/3/1,7225.237,31291.096,3745.562,3077.364,14.103,14.8,7206338.965
2011/4/1,7285,31553.114,3753.885,3147.572,14.216,13.4,6696226.951
2011/5/1,7346.111,31876.526,3755.7,3211.311,14.322,13.3,6069681.123
2011/6/1,7407.311,32157.697,3748.523,3258.626,14.378,15.1,5379199.96
2011/7/1,7452.84,32229.781,3735.515,3281.781,14.299,14,4732781.108
2011/8/1,7471.59,31995.825,3719.711,3281.282,14.068,13.5,4221296.719
2011/9/1,7455.097,31487.927,3709.879,3259.569,13.746,13.8,3901944.131
2011/10/1,7422.14,30800.553,3712.478,3233.044,13.432,13.2,3797517.227
2011/11/1,7408.338,30124.77,3727.73,3212.109,13.236,12.4,3850471.353
2011/12/1,7439.977,29652.884,3748.829,3202.105,13.159,12.8,4007844.117
2012/1/1,7515.139,29499.336,3769.224,3199.5,13.061,21.3,4177549.272
2012/2/1,7620.684,29651.232,3782.391,3198.746,12.771,21.3,4297524.783
2012/3/1,7726.669,29967.162,3783.66,3192.984,12.239,11.9,4354839.794
2012/4/1,7803.965,30301.194,3779.009,3173.261,11.501,9.3,4433583.12
2012/5/1,7843.073,30531.087,3776.561,3140.102,10.677,9.6,4635802.677
2012/6/1,7867.337,30642.882,3786.242,3106.945,9.97,9.5,4988704.067
2012/7/1,7903.95,30674.789,3815.676,3087.614,9.536,9.2,5438807.27
2012/8/1,7968.544,30643.624,3866.752,3088.198,9.394,8.9,5873527.393
2012/9/1,8069.726,30540.213,3928.383,3110.944,9.446,9.2,6131721.482
2012/10/1,8194.175,30338.445,3986.031,3147.649,9.572,9.6,6086527.365
2012/11/1,8318.686,30085.177,4027.528,3190.184,9.666,10.1,5767886.168
2012/12/1,8429.038,29845.391,4043.815,3232.727,9.664,10.3,5332153.463
2013/1/1,8511.803,29698.132,4033.04,3265.288,9.583,8.9,4958937.307
2013/2/1,8559.417,29676.084,4005.647,3286.888,9.435,8.9,4786486.137
2013/3/1,8581.273,29709.839,3980.39,3308.095,9.318,8.9,4860925.186
2013/4/1,8604.807,29757.962,3967.202,3341.432,9.326,9.3,5116352.948
2013/5/1,8656.021,29772.64,3970.137,3391.676,9.496,9.2,5394937.524
2013/6/1,8749.687,29765.006,3985.724,3454.524,9.785,8.9,5592872.28
2013/7/1,8885.541,29861.656,4001.172,3521.797,10.103,9.7,5671462.672
2013/8/1,9045.638,30215.773,4008.301,3578.96,10.323,10.4,5663248.894
